Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year,Date,Year_minus_2016,Volume,Volume_Litres,Category_ID,Subcategory_Name,Category_Name
8,Alcoholic Drinks,13,1,Total Volume,Castel Groupe,million litres,2019,2019-12-31,7,"1769,724406",1769724406,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Castel Groupe,million litres,2020,2020-12-31,8,"1740,416722",1740416722,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Castel Groupe,million litres,2021,2021-12-31,9,"1733,730953",1733730953,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Saigon Alcohol Beer & Beverages Corp (Sabeco),million litres,2017,2017-12-31,5,"1298,701231",1298701231,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Saigon Alcohol Beer & Beverages Corp (Sabeco),million litres,2018,2018-12-31,6,"1339,999961",1339999961,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Saigon Alcohol Beer & Beverages Corp (Sabeco),million litres,2019,2019-12-31,7,"1396,799955",1396799955,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Saigon Alcohol Beer & Beverages Corp (Sabeco),million litres,2020,2020-12-31,8,"1527,453336",1527453336,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Saigon Alcohol Beer & Beverages Corp (Sabeco),million litres,2021,2021-12-31,9,"1654,31789",1654317890,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Cervejaria PetrÃ³polis SA,million litres,2017,2017-12-31,5,"1489,940538",1489940538,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Cervejaria PetrÃ³polis SA,million litres,2018,2018-12-31,6,"1629,510855",1629510855,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Cervejaria PetrÃ³polis SA,million litres,2019,2019-12-31,7,"1601,521877",1601521877,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Cervejaria PetrÃ³polis SA,million litres,2020,2020-12-31,8,"1568,590103",1568590103,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Cervejaria PetrÃ³polis SA,million litres,2021,2021-12-31,9,"1574,269942",1574269942,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Anadolu Group,million litres,2017,2017-12-31,5,"2033,004838",2033004838,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Anadolu Group,million litres,2018,2018-12-31,6,"1840,203488",1840203488,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Anadolu Group,million litres,2019,2019-12-31,7,"1533,329993",1533329993,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Anadolu Group,million litres,2020,2020-12-31,8,"1489,012658",1489012658,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Anadolu Group,million litres,2021,2021-12-31,9,"1481,195742",1481195742,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Suntory Holdings Ltd,million litres,2017,2017-12-31,5,"1672,663711",1672663711,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Suntory Holdings Ltd,million litres,2018,2018-12-31,6,"1679,903232",1679903232,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Suntory Holdings Ltd,million litres,2019,2019-12-31,7,"1571,970234",1571970234,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Suntory Holdings Ltd,million litres,2020,2020-12-31,8,"1465,432566",1465432566,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Suntory Holdings Ltd,million litres,2021,2021-12-31,9,"1435,9174",1435917400,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Oetker-Gruppe,million litres,2017,2017-12-31,5,"1239,484205",1239484205,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Oetker-Gruppe,million litres,2018,2018-12-31,6,"1255,419627",1255419627,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Oetker-Gruppe,million litres,2019,2019-12-31,7,"1259,301769",1259301769,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Oetker-Gruppe,million litres,2020,2020-12-31,8,"1266,592758",1266592758,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Oetker-Gruppe,million litres,2021,2021-12-31,9,"1282,895178",1282895178,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,UB Group,million litres,2017,2017-12-31,5,"1194,108747",1194108747,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,UB Group,million litres,2018,2018-12-31,6,"1271,330155",1271330155,1,Beer,Beer
